satellite_name,norad_cat_id,observation_time_utc,observation_time_uncertainty_sec,apparent_magnitude,apparent_magnitude_uncertainty,observer_latitude_deg,observer_longitude_deg,observer_altitude_m,limiting_magnitude,instrument,observing_mode,observing_filter,observer_orcid,satellite_right_ascension_deg,satellite_declination_deg,sigma_2_ra,sigma_ra_sigma_dec,sigma_2_dec,range_to_satellite_km,range_to_satellite_uncertainty_km,range_rate_of_satellite_km_per_sec,range_rate_of_satellite_uncertainty_km_per_sec,comments,data_archive_link,mpc_code,sat_ra_deg_satchecker,sat_dec_deg_satchecker,range_to_sat_km_satchecker,range_rate_sat_km_s_satchecker,ddec_deg_s_satchecker,dra_cosdec_deg_s_satchecker,phase_angle_deg_satchecker,alt_deg_satchecker,az_deg_satchecker,sat_altitude_km_satchecker,solar_elevation_deg_satchecker,solar_azimuth_deg_satchecker,illuminated,international_designator,potentially_discrepant
HULIANWANG DIGUI-08,62330,2024-03-18T20:48:26.000Z,2,4.8,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,204.7,38,,,,0,5,,,Limiting magnitude not recorded,,,,,,,,,,,,,,,,2024-240H,FALSE
HULIANWANG DIGUI-08,62330,2024-03-18T20:49:02.000Z,2,5,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,213.4,43.2,,,,0,5,,,Limiting magnitude not recorded,,,,,,,,,,,,,,,,2024-240H,FALSE
HULIANWANG DIGUI-08,62330,2024-03-18T20:49:50.000Z,2,5.8,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,226.4,48.2,,,,0,5,,,Limiting magnitude not recorded,,,,,,,,,,,,,,,,2024-240H,FALSE
HULIANWANG DIGUI-08,62330,2025-03-19T21:56:53.000Z,2,3.6,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,134.5,47.1,,,,0,5,,,Limiting magnitude not recorded,,,132.4976135,65.1889604,1155.010556,1.5557419,0.3518385,-0.0206683,72.988328,74.7470407,345.2709194,1120.585002,-30.4452747,315.2136396,TRUE,2024-240H,FALSE
HULIANWANG DIGUI-08,62330,2025-03-19T21:57:21.000Z,2,3.7,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,133.3,58.7,,,,0,5,,,Limiting magnitude not recorded,,,130.3740801,74.633469,1212.382152,2.518568,0.3209497,-0.0308277,79.648955,65.6042079,352.7915396,1120.977787,-30.4972811,315.3348362,TRUE,2024-240H,FALSE
HULIANWANG DIGUI-08,62330,2025-03-19T21:58:27.000Z,2,4,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,128.3,80.1,,,,0,5,,,Limiting magnitude not recorded,,,341.0161734,86.5051755,1438.001797,4.1747607,-0.2147381,-0.1009348,92.9962491,47.3900005,358.4700852,1121.907082,-30.6194255,315.6210249,TRUE,2024-240H,FALSE
HULIANWANG DIGUI-08,62330,2025-03-19T21:59:08.000Z,2,5.3,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,349.5,87.5,,,,0,5,,,Limiting magnitude not recorded,,,323.0222838,77.9744233,1623.211157,4.8195037,-0.1907091,-0.0233634,99.3540187,38.6849997,359.9508572,1122.480871,-30.6949889,315.7991708,TRUE,2024-240H,FALSE
HULIANWANG DIGUI-08,62330,2025-03-19T21:59:28.000Z,2,5.9,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,334.2,85.6,,,,0,5,,,Limiting magnitude not recorded,,,321.3899163,74.3394788,1722.037077,5.055718,-0.1730735,-0.016009,101.9852375,35.0513331,0.4723848,1122.758288,-30.7317613,315.8861721,TRUE,2024-240H,FALSE
HULIANWANG DIGUI-08,62330,2025-03-19T21:59:50.000Z,2,5.5,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,323.9,79.4,,,,0,5,,,Limiting magnitude not recorded,,,320.3908147,70.725471,1835.696427,5.2696416,-0.1558704,-0.0114539,104.5769514,31.4450702,0.9521987,1123.060846,-30.7721443,315.9819499,TRUE,2024-240H,FALSE
HULIANWANG DIGUI-08,62330,2025-03-19T22:01:47.000Z,2,6.7,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,319.5,61.6,,,,0,5,,,Limiting magnitude not recorded,,,318.6574872,56.3701437,2495.615506,5.901948,-0.0972812,-0.0032321,114.5682451,17.1409898,2.6435437,1124.601199,-30.9857279,316.4926611,TRUE,2024-240H,FALSE
