satellite_name,norad_cat_id,observation_time_utc,observation_time_uncertainty_sec,apparent_magnitude,apparent_magnitude_uncertainty,observer_latitude_deg,observer_longitude_deg,observer_altitude_m,limiting_magnitude,instrument,observing_mode,observing_filter,observer_orcid,satellite_right_ascension_deg,satellite_declination_deg,sigma_2_ra,sigma_ra_sigma_dec,sigma_2_dec,range_to_satellite_km,range_to_satellite_uncertainty_km,range_rate_of_satellite_km_per_sec,range_rate_of_satellite_uncertainty_km_per_sec,comments,data_archive_link,mpc_code,sat_ra_deg_satchecker,sat_dec_deg_satchecker,range_to_sat_km_satchecker,range_rate_sat_km_s_satchecker,ddec_deg_s_satchecker,dra_cosdec_deg_s_satchecker,phase_angle_deg_satchecker,alt_deg_satchecker,az_deg_satchecker,sat_altitude_km_satchecker,solar_elevation_deg_satchecker,solar_azimuth_deg_satchecker,illuminated,international_designator,potentially_discrepant
HULIANWANG DIGUI-02,62324,2025-03-19T21:07:00.000Z,2,5.4,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,244.4,59.2,,,,0,5,,,Limiting magnitude not recorded,,,243.6925542,59.3573578,1820.224324,4.0559873,0.0088842,0.1918005,77.010623,32.1349535,33.3924843,1128.171784,-24.3141039,302.9656553,TRUE,2024-240B,FALSE
HULIANWANG DIGUI-02,62324,2025-03-19T21:06:06.000Z,2,5,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,223.1,56.7,,,,0,5,,,Limiting magnitude not recorded,,,222.3847394,56.78233,1626.817665,3.0490498,0.0905829,0.216355,66.1374683,38.8119542,44.7475721,1127.460642,-24.1943281,302.756692,TRUE,2024-240B,FALSE
HULIANWANG DIGUI-02,62324,2025-03-19T21:05:43.000Z,2,4.5,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,214.3,54.2,,,,0,5,,,Limiting magnitude not recorded,,,213.546201,54.2537558,1562.750799,2.5109152,0.1291338,0.2166979,60.8389601,41.4896745,51.1143631,1127.1553,-24.1432268,302.667808,TRUE,2024-240B,FALSE
HULIANWANG DIGUI-02,62324,2025-03-19T21:05:34.000Z,2,4.6,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,211.3,53.2,,,,0,5,,,Limiting magnitude not recorded,,,210.2658966,53.0256969,1541.172631,2.2825938,0.1436797,0.2151604,58.6653727,42.4601599,53.8910175,1127.035662,-24.1232167,302.6330466,TRUE,2024-240B,FALSE
HULIANWANG DIGUI-02,62324,2025-03-19T21:04:41.000Z,2,4,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,194.3,43.6,,,,0,5,,,Limiting magnitude not recorded,,,193.7433831,43.4395844,1459.187505,0.7691676,0.2120992,0.1917964,45.0121996,46.5239945,73.3534631,1126.332153,-24.005222,302.4285596,TRUE,2024-240B,FALSE
HULIANWANG DIGUI-02,62324,2025-03-19T21:04:08.000Z,2,4.3,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,186.5,36.2,,,,0,5,,,Limiting magnitude not recorded,,,185.9395711,36.0355655,1450.664822,-0.2556698,0.2336677,0.1701217,36.2389372,46.9632614,87.1541476,1125.897745,-23.9316179,302.3014261,TRUE,2024-240B,FALSE
