satellite_name,norad_cat_id,observation_time_utc,observation_time_uncertainty_sec,apparent_magnitude,apparent_magnitude_uncertainty,observer_latitude_deg,observer_longitude_deg,observer_altitude_m,limiting_magnitude,instrument,observing_mode,observing_filter,observer_orcid,satellite_right_ascension_deg,satellite_declination_deg,sigma_2_ra,sigma_ra_sigma_dec,sigma_2_dec,range_to_satellite_km,range_to_satellite_uncertainty_km,range_rate_of_satellite_km_per_sec,range_rate_of_satellite_uncertainty_km_per_sec,comments,data_archive_link,mpc_code,sat_ra_deg_satchecker,sat_dec_deg_satchecker,range_to_sat_km_satchecker,range_rate_sat_km_s_satchecker,ddec_deg_s_satchecker,dra_cosdec_deg_s_satchecker,phase_angle_deg_satchecker,alt_deg_satchecker,az_deg_satchecker,sat_altitude_km_satchecker,solar_elevation_deg_satchecker,solar_azimuth_deg_satchecker,illuminated,international_designator,potentially_discrepant
HULIANWANG DIGUI-05,62327,2025-03-18T20:58:22.000Z,2,4.3,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,189.8,31,,,,0,5,,,Limiting magnitude not recorded,,,189.7265302,31.2880874,1588.014162,-0.4949333,0.2078125,0.1630553,32.4085968,39.9450749,87.51089,1119.031111,-23.4450374,300.6752559,TRUE,2024-240E,FALSE
HULIANWANG DIGUI-05,62327,2025-03-18T20:59:10.000Z,2,4.5,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,200.2,40.4,,,,0,5,,,Limiting magnitude not recorded,,,200.2390495,40.7387514,1597.099433,0.8695902,0.1813787,0.1882808,44.6687437,39.6028512,71.117785,1119.693375,-23.5539529,300.8582028,TRUE,2024-240E,FALSE
HULIANWANG DIGUI-05,62327,2025-03-19T22:08:24.000Z,2,3.4,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,114.9,56.9,,,,0,5,,,Limiting magnitude not recorded,,,114.6702494,56.7543318,1176.485843,0.8329264,0.3355081,-0.103845,76.1226987,71.4420465,300.7313876,1124.749137,-31.6953428,318.2425799,TRUE,2024-240E,FALSE
HULIANWANG DIGUI-05,62327,2025-03-19T22:08:44.000Z,2,3.7,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,110.4,63.4,,,,0,5,,,Limiting magnitude not recorded,,,110.0991942,63.2774929,1200.492462,1.5602662,0.3149213,-0.1237143,80.508926,67.7588804,317.662118,1125.038687,-31.7304622,318.3314347,TRUE,2024-240E,FALSE
HULIANWANG DIGUI-05,62327,2025-03-19T22:09:03.000Z,2,5.1,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,103.9,69.1,,,,0,5,,,Limiting magnitude not recorded,,,103.6706961,68.9873626,1236.312371,2.2006759,0.2840516,-0.1485513,84.5833466,63.3172334,328.4375872,1125.314997,-31.7637687,318.415909,TRUE,2024-240E,FALSE
HULIANWANG DIGUI-05,62327,2025-03-19T22:09:51.000Z,2,4.8,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,66.3,79.3,,,,0,5,,,Limiting magnitude not recorded,,,65.9884994,79.2615888,1375.589971,3.5303943,0.1123836,-0.2389436,93.9082892,51.526848,343.0316303,1126.015512,-31.8476641,318.6295874,TRUE,2024-240E,FALSE
HULIANWANG DIGUI-05,62327,2025-03-19T22:10:25.000Z,2,5.6,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,19.4,79.6,,,,0,5,,,Limiting magnitude not recorded,,,19.6187332,79.5908473,1507.885816,4.2192734,-0.0804367,-0.2093606,99.4341067,44.0083183,348.3341329,1126.510992,-31.9068748,318.7811774,TRUE,2024-240E,FALSE
HULIANWANG DIGUI-05,62327,2025-03-19T22:10:45.000Z,2,6.3,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,0.9,77.5,,,,0,5,,,Limiting magnitude not recorded,,,1.0424727,77.4078339,1595.576257,4.54036,-0.1294385,-0.1566541,102.2666418,40.0475128,350.5388747,1126.801074,-31.9416209,318.8704385,TRUE,2024-240E,FALSE
HULIANWANG DIGUI-05,62327,2025-03-19T22:11:00.000Z,2,6.3,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,352,75.4,,,,0,5,,,Limiting magnitude not recorded,,,352.0659083,75.3582036,1665.263015,4.7465714,-0.1415006,-0.1249563,104.2044934,37.2974965,351.9023774,1127.017614,-31.9676398,318.9374286,TRUE,2024-240E,FALSE
HULIANWANG DIGUI-05,62327,2025-03-19T22:11:08.000Z,2,5.9,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,348.2,74.2,,,,0,5,,,Limiting magnitude not recorded,,,348.4647394,74.2169918,1703.637345,4.8457793,-0.143411,-0.111364,105.1772211,35.9045027,352.5494045,1127.132669,-31.9815022,318.9731721,TRUE,2024-240E,FALSE
