satellite_name,norad_cat_id,observation_time_utc,observation_time_uncertainty_sec,apparent_magnitude,apparent_magnitude_uncertainty,observer_latitude_deg,observer_longitude_deg,observer_altitude_m,limiting_magnitude,instrument,observing_mode,observing_filter,observer_orcid,satellite_right_ascension_deg,satellite_declination_deg,sigma_2_ra,sigma_ra_sigma_dec,sigma_2_dec,range_to_satellite_km,range_to_satellite_uncertainty_km,range_rate_of_satellite_km_per_sec,range_rate_of_satellite_uncertainty_km_per_sec,comments,data_archive_link,mpc_code,sat_ra_deg_satchecker,sat_dec_deg_satchecker,range_to_sat_km_satchecker,range_rate_sat_km_s_satchecker,ddec_deg_s_satchecker,dra_cosdec_deg_s_satchecker,phase_angle_deg_satchecker,alt_deg_satchecker,az_deg_satchecker,sat_altitude_km_satchecker,solar_elevation_deg_satchecker,solar_azimuth_deg_satchecker,illuminated,international_designator,potentially_discrepant
HULIANWANG DIGUI-09,62331,2025-03-19T21:23:56.000Z,2,3.5,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,169,36.8,,,,0,5,,,Limiting magnitude not recorded,,,168.3633599,36.4883182,1254.855228,-0.9507973,0.3022906,0.1337983,37.5361626,61.3895036,106.3666663,1125.793816,-26.5123352,306.9726534,TRUE,2024-240J,FALSE
HULIANWANG DIGUI-09,62331,2025-03-19T21:24:33.000Z,2,3.7,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,176.5,47.8,,,,0,5,,,Limiting magnitude not recorded,,,175.8856912,47.5775703,1244.295117,0.3856803,0.2915435,0.16659,47.335836,62.5600406,80.0092047,1126.305961,-26.5903054,307.1213662,TRUE,2024-240J,FALSE
HULIANWANG DIGUI-09,62331,2025-03-19T21:25:10.000Z,2,3.6,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,188,57.7,,,,0,5,,,Limiting magnitude not recorded,,,187.2651484,57.6119795,1282.836409,1.6776755,0.2444536,0.2024946,57.6367607,58.7985112,56.356723,1126.824035,-26.668122,307.2702807,TRUE,2024-240J,FALSE
HULIANWANG DIGUI-09,62331,2025-03-19T21:26:37.000Z,2,5.2,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,237,69.4,,,,0,5,,,Limiting magnitude not recorded,,,236.2610308,69.5319973,1536.667463,3.9493791,0.0148348,0.228535,78.7104602,42.7250455,27.8984178,1128.047605,-26.8504871,307.6212291,TRUE,2024-240J,FALSE
HULIANWANG DIGUI-09,62331,2025-03-19T21:26:50.000Z,2,5.3,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,245.7,69.3,,,,0,5,,,Limiting magnitude not recorded,,,244.5294541,69.5158683,1589.562401,4.1841683,-0.016374,0.2150983,81.2737167,40.3821558,25.6798483,1128.229288,-26.8776633,307.6737663,TRUE,2024-240J,FALSE
HULIANWANG DIGUI-09,62331,2025-03-19T21:27:22.000Z,2,5.1,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,262.6,67.8,,,,0,5,,,Limiting magnitude not recorded,,,261.875614,68.0745882,1731.505592,4.6659122,-0.0676777,0.1731215,86.9482895,35.0109333,21.3539887,1128.673365,-26.9444762,307.8031955,TRUE,2024-240J,FALSE
HULIANWANG DIGUI-09,62331,2025-03-19T21:28:04.000Z,2,6.1,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,278,64.3,,,,0,5,,,Limiting magnitude not recorded,,,277.3913186,64.6009368,1937.799384,5.1300539,-0.091806,0.1232161,93.1859122,28.8415085,17.3497574,1129.246882,-27.0319899,307.9733035,TRUE,2024-240J,FALSE
HULIANWANG DIGUI-09,62331,2025-03-19T21:28:21.000Z,2,5.7,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,282.2,62.8,,,,0,5,,,Limiting magnitude not recorded,,,281.8313882,63.0183814,2026.278391,5.2756974,-0.0939086,0.1075283,95.3784974,26.6085799,16.0958075,1129.475168,-27.0673544,308.0422317,TRUE,2024-240J,FALSE
