satellite_name,norad_cat_id,observation_time_utc,observation_time_uncertainty_sec,apparent_magnitude,apparent_magnitude_uncertainty,observer_latitude_deg,observer_longitude_deg,observer_altitude_m,limiting_magnitude,instrument,observing_mode,observing_filter,observer_orcid,satellite_right_ascension_deg,satellite_declination_deg,sigma_2_ra,sigma_ra_sigma_dec,sigma_2_dec,range_to_satellite_km,range_to_satellite_uncertainty_km,range_rate_of_satellite_km_per_sec,range_rate_of_satellite_uncertainty_km_per_sec,comments,data_archive_link,mpc_code,sat_ra_deg_satchecker,sat_dec_deg_satchecker,range_to_sat_km_satchecker,range_rate_sat_km_s_satchecker,ddec_deg_s_satchecker,dra_cosdec_deg_s_satchecker,phase_angle_deg_satchecker,alt_deg_satchecker,az_deg_satchecker,sat_altitude_km_satchecker,solar_elevation_deg_satchecker,solar_azimuth_deg_satchecker,illuminated,international_designator,potentially_discrepant
HULIANWANG DIGUI-06,62328,2025-03-18T20:46:52.000Z,2,6.5,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,251.4,50.3,,,,0,5,,,Limiting magnitude not recorded,,,250.9797945,50.4384532,2304.986057,4.1823858,0.000718,0.1505334,78.4882258,20.4261375,32.6689213,1122.082224,-21.8572252,298.0775098,TRUE,2024-240F,FALSE
HULIANWANG DIGUI-06,62328,2025-03-18T20:46:23.000Z,2,5.9,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,244.3,50.1,,,,0,5,,,Limiting magnitude not recorded,,,243.8406601,50.1444853,2188.862173,3.816129,0.0202686,0.1634576,74.0233256,22.705805,36.8307674,1121.707629,-21.7896181,297.9696075,TRUE,2024-240F,FALSE
HULIANWANG DIGUI-06,62328,2025-03-18T20:45:19.000Z,2,5.6,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,227.5,47.1,,,,0,5,,,Limiting magnitude not recorded,,,226.8556919,47.1351525,1976.069962,2.7785109,0.0760003,0.1823225,62.632469,27.5308777,48.2738042,1120.866067,-21.6401769,297.7318323,TRUE,2024-240F,FALSE
HULIANWANG DIGUI-06,62328,2025-03-18T20:44:49.000Z,2,5.4,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,219.5,44.5,,,,0,5,,,Limiting magnitude not recorded,,,218.9426357,44.4272149,1901.547071,2.1777809,0.1044188,0.1841825,56.5729722,29.4729939,54.8131779,1120.467798,-21.5700136,297.6205421,TRUE,2024-240F,FALSE
HULIANWANG DIGUI-06,62328,2025-03-18T20:44:29.000Z,2,4.9,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,214.4,42.2,,,,0,5,,,Limiting magnitude not recorded,,,213.8941262,42.1567047,1862.32625,1.7395995,0.1224143,0.1826605,52.3077142,30.5590033,59.5789114,1120.202047,-21.5231983,297.5464075,TRUE,2024-240F,FALSE
HULIANWANG DIGUI-06,62328,2025-03-18T20:43:46.000Z,2,4.9,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,204.6,36.3,,,,0,5,,,Limiting magnitude not recorded,,,203.9715401,36.1612574,1809.170318,0.7176674,0.1546224,0.1726883,42.6740848,32.1041157,70.7166357,1119.632552,-21.4224385,297.3871775,TRUE,2024-240F,FALSE
