satellite_name,norad_cat_id,observation_time_utc,observation_time_uncertainty_sec,apparent_magnitude,apparent_magnitude_uncertainty,observer_latitude_deg,observer_longitude_deg,observer_altitude_m,limiting_magnitude,instrument,observing_mode,observing_filter,observer_orcid,satellite_right_ascension_deg,satellite_declination_deg,sigma_2_ra,sigma_ra_sigma_dec,sigma_2_dec,range_to_satellite_km,range_to_satellite_uncertainty_km,range_rate_of_satellite_km_per_sec,range_rate_of_satellite_uncertainty_km_per_sec,comments,data_archive_link,mpc_code,sat_ra_deg_satchecker,sat_dec_deg_satchecker,range_to_sat_km_satchecker,range_rate_sat_km_s_satchecker,ddec_deg_s_satchecker,dra_cosdec_deg_s_satchecker,phase_angle_deg_satchecker,alt_deg_satchecker,az_deg_satchecker,sat_altitude_km_satchecker,solar_elevation_deg_satchecker,solar_azimuth_deg_satchecker,illuminated,international_designator,potentially_discrepant
HULIANWANG DIGUI-03,62325,2025-03-18T21:22:45.000Z,2,5.6,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,257.4,63.3,,,,0,5,,,Limiting magnitude not recorded,,,256.9315906,63.4411798,1814.947732,4.5701613,-0.0395202,0.1760449,84.2784341,32.0533901,25.8566897,1122.68268,-26.664771,306.3917866,TRUE,2024-240C,FALSE
HULIANWANG DIGUI-03,62325,2025-03-18T21:22:25.000Z,2,4.8,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,249,63.9,,,,0,5,,,Limiting magnitude not recorded,,,248.5040791,64.0028629,1726.301188,4.2870682,-0.0152686,0.1962394,80.7904444,34.8915415,28.7657493,1122.403464,-26.622241,306.311595,TRUE,2024-240C,FALSE
HULIANWANG DIGUI-03,62325,2025-03-18T21:21:41.000Z,2,4.4,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,228,62.9,,,,0,5,,,Limiting magnitude not recorded,,,227.1507136,63.0174106,1554.25178,3.4903212,0.0656444,0.2278185,71.9400447,41.5556404,37.3098449,1121.786365,-26.5285211,306.1353809,TRUE,2024-240C,FALSE
HULIANWANG DIGUI-03,62325,2025-03-18T21:20:42.000Z,2,4,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,201,55.4,,,,0,5,,,Limiting magnitude not recorded,,,200.2355032,55.3476002,1390.196334,1.9854637,0.1907277,0.2187945,57.456587,50.1903123,55.9218472,1120.960123,-26.4025201,305.8995401,TRUE,2024-240C,FALSE
HULIANWANG DIGUI-03,62325,2025-03-18T21:19:59.000Z,2,3.7,0.5,50.6,-4.73,100,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,186.9,45.8,,,,0,5,,,Limiting magnitude not recorded,,,186.2575062,45.7223137,1333.80035,0.6087093,0.2505749,0.187923,45.5328152,54.0144346,76.1957171,1120.365295,-26.3104515,305.727977,TRUE,2024-240C,FALSE
