satellite_name,norad_cat_id,observation_time_utc,observation_time_uncertainty_sec,apparent_magnitude,apparent_magnitude_uncertainty,observer_latitude_deg,observer_longitude_deg,observer_altitude_m,limiting_magnitude,instrument,observing_mode,observing_filter,observer_orcid,satellite_right_ascension_deg,satellite_declination_deg,sigma_2_ra,sigma_ra_sigma_dec,sigma_2_dec,range_to_satellite_km,range_to_satellite_uncertainty_km,range_rate_of_satellite_km_per_sec,range_rate_of_satellite_uncertainty_km_per_sec,comments,data_archive_link,mpc_code,sat_ra_deg_satchecker,sat_dec_deg_satchecker,range_to_sat_km_satchecker,range_rate_sat_km_s_satchecker,ddec_deg_s_satchecker,dra_cosdec_deg_s_satchecker,phase_angle_deg_satchecker,alt_deg_satchecker,az_deg_satchecker,sat_altitude_km_satchecker,solar_elevation_deg_satchecker,solar_azimuth_deg_satchecker,illuminated,international_designator,potentially_discrepant
HULIANWANG DIGUI-04,62326,2025-03-18T21:09:20.000Z,2.0,4.0,0.5,50.6,-4.73,100.0,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,193.7,42.2,,,,0.0,5.0,,,Limiting magnitude not recorded,,,192.8939368,41.9910402,1453.178817,0.5941135,0.2168757,0.1894908,43.2970881,46.3451979,75.7104681,1118.798069,-24.9194475,303.2096891,True,2024-240D,False
HULIANWANG DIGUI-04,62326,2025-03-18T21:09:55.000Z,2.0,4.7,0.5,50.6,-4.73,100.0,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,203.8,49.1,,,,0.0,5.0,,,Limiting magnitude not recorded,,,202.9001527,48.9591426,1492.552306,1.6415877,0.1782729,0.2083381,52.6512494,44.3226261,62.0494736,1119.266046,-24.9967122,303.3461373,True,2024-240D,False
HULIANWANG DIGUI-04,62326,2025-03-18T21:10:16.000Z,2.0,4.7,0.5,50.6,-4.73,100.0,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,210.7,52.5,,,,0.0,5.0,,,Limiting magnitude not recorded,,,209.9457127,52.3877053,1533.164321,2.2183299,0.14749,0.2154067,58.0123516,42.3859354,54.8469512,1119.549386,-25.0430127,303.4280875,True,2024-240D,False
HULIANWANG DIGUI-04,62326,2025-03-18T21:10:46.000Z,2.0,5.6,0.5,50.6,-4.73,100.0,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,222.0,56.1,,,,0.0,5.0,,,Limiting magnitude not recorded,,,221.1444204,56.0804345,1611.01012,2.9528158,0.0980985,0.2175006,65.1762656,39.044921,46.0702801,1119.956143,-25.1090803,303.5452651,True,2024-240D,False
HULIANWANG DIGUI-04,62326,2025-03-18T21:11:42.000Z,2.0,6.0,0.5,50.6,-4.73,100.0,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,243.9,58.9,,,,0.0,5.0,,,Limiting magnitude not recorded,,,243.1464137,59.058897,1808.14882,4.0243021,0.0122956,0.1937672,76.7251151,32.1757423,33.9593463,1120.716533,-25.232166,303.7643313,True,2024-240D,False
HULIANWANG DIGUI-04,62326,2025-03-19T22:18:00.000Z,2.0,4.2,0.5,50.6,-4.73,100.0,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,113.4,35.2,,,,0.0,5.0,,,Limiting magnitude not recorded,,,101.9968011,54.0665935,1234.351643,0.8326179,0.2986107,-0.1506351,82.3149287,62.7684556,294.9099961,1118.919346,-32.6817522,320.8285457,True,2024-240D,False
HULIANWANG DIGUI-04,62326,2025-03-19T22:17:37.000Z,2.0,4.6,0.5,50.6,-4.73,100.0,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,107.1,47.5,,,,0.0,5.0,,,Limiting magnitude not recorded,,,107.0735186,46.9959363,1224.710186,0.0024263,0.3138651,-0.129078,77.7282849,63.8161379,277.6739813,1118.603949,-32.6433769,320.7242141,True,2024-240D,False
HULIANWANG DIGUI-04,62326,2025-03-19T22:19:20.000Z,2.0,4.5,0.5,50.6,-4.73,100.0,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,96.7,59.7,,,,0.0,5.0,,,Limiting magnitude not recorded,,,63.4465346,72.1705932,1404.526676,3.262347,0.11737,-0.2366099,97.3613896,49.2255181,332.3332081,1120.035326,-32.814561,321.1921343,True,2024-240D,False
HULIANWANG DIGUI-04,62326,2025-03-19T22:20:24.000Z,2.0,4.6,0.5,50.6,-4.73,100.0,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,62.7,72.4,,,,0.0,5.0,,,Limiting magnitude not recorded,,,13.3826532,72.637483,1655.308799,4.4725345,-0.0776922,-0.1814819,106.5071777,37.3619629,344.5291099,1120.93365,-32.9200534,321.4837836,True,2024-240D,False
HULIANWANG DIGUI-04,62326,2025-03-19T22:21:11.000Z,2.0,5.3,0.5,50.6,-4.73,100.0,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,26.4,73.8,,,,0.0,5.0,,,Limiting magnitude not recorded,,,352.6791697,67.9592432,1879.519399,5.0310567,-0.1103329,-0.114462,111.5709918,30.1200635,349.6288218,1121.586716,-32.9970946,321.6984045,True,2024-240D,False
HULIANWANG DIGUI-04,62326,2025-03-19T22:21:35.000Z,2.0,6.4,0.5,50.6,-4.73,100.0,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,6.7,71.6,,,,0.0,5.0,,,Limiting magnitude not recorded,,,346.4665101,65.30232,2002.865443,5.2405714,-0.1101425,-0.0914083,113.7286669,26.8955454,351.5692812,1121.915875,-33.0362937,321.8081421,True,2024-240D,False
HULIANWANG DIGUI-04,62326,2025-03-22T22:17:20.000Z,2.0,4.3,0.5,50.6,-4.73,100.0,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,92.1,45.7,,,,0.0,5.0,,,Limiting magnitude not recorded,,,81.370333,54.4372764,1410.827008,1.4840302,0.2136179,-0.1920947,96.8715136,49.8808993,303.0063474,1134.113904,-31.6179241,321.4473014,True,2024-240D,False
HULIANWANG DIGUI-04,62326,2025-03-22T22:17:33.000Z,2.0,5.5,0.5,50.6,-4.73,100.0,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,87.6,50.2,,,,0.0,5.0,,,Limiting magnitude not recorded,,,76.8175549,57.0878424,1432.579907,1.8596244,0.1936213,-0.2013274,98.9196591,48.5782543,308.3204409,1134.30021,-31.6392873,321.5057624,True,2024-240D,False
HULIANWANG DIGUI-04,62326,2025-03-22T22:18:14.000Z,2.0,5.3,0.5,50.6,-4.73,100.0,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,75.4,58.1,,,,0.0,5.0,,,Limiting magnitude not recorded,,,59.0054118,63.4454416,1531.13353,2.9120535,0.1127106,-0.2202827,104.8923122,43.3994597,322.1492565,1134.886431,-31.7064838,321.6903188,True,2024-240D,False
HULIANWANG DIGUI-04,62326,2025-03-22T22:18:35.000Z,2.0,5.7,0.5,50.6,-4.73,100.0,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,65.3,62.0,,,,0.0,5.0,,,Limiting magnitude not recorded,,,48.2493869,65.3218347,1597.149222,3.3652977,0.0659829,-0.2196296,107.6068915,40.4482434,327.6460443,1135.18491,-31.7407953,321.7849527,True,2024-240D,False
HULIANWANG DIGUI-04,62326,2025-03-22T22:18:53.000Z,2.0,5.1,0.5,50.6,-4.73,100.0,7.5,none,VISUAL,CLEAR,0000-0002-7093-7320,57.5,63.9,,,,0.0,5.0,,,Limiting magnitude not recorded,,,38.7488315,66.1604721,1660.869147,3.707757,0.0277946,-0.2120465,109.736456,37.8974433,331.6523219,1135.439234,-31.7701477,321.8661239,True,2024-240D,False
HULIANWANG DIGUI-04,62326,2025-03-24T17:30:26.000Z,1.0,4.35,0.2,43.65,41.43,2030.0,7.5,MMT9,CMOS,CLEAR,0000-0002-7093-7320,189.5,37.6,,,,0.0,5.0,,,Limiting magnitude not recorded,,,189.1173642,37.328832,1552.376322,0.6637608,0.2185429,0.1566865,39.2349328,42.7972869,75.214367,1143.366967,-21.5940433,294.9693414,True,2024-240D,False
HULIANWANG DIGUI-04,62326,2025-03-24T17:30:31.000Z,1.0,4.38,0.2,43.65,41.43,2030.0,7.5,MMT9,CMOS,CLEAR,0000-0002-7093-7320,190.6,38.7,,,,0.0,5.0,,,Limiting magnitude not recorded,,,190.11717,38.413932,1556.052825,0.8066573,0.2154414,0.158976,40.433701,42.6310759,73.415492,1143.434069,-21.6076933,294.9862613,True,2024-240D,False
HULIANWANG DIGUI-04,62326,2025-03-24T17:30:37.000Z,1.0,4.41,0.2,43.65,41.43,2030.0,7.5,MMT9,CMOS,CLEAR,0000-0002-7093-7320,191.8,40.0,,,,0.0,5.0,,,Limiting magnitude not recorded,,,191.3559761,39.6944948,1561.403594,0.9766364,0.211341,0.1616419,41.871816,42.3901892,71.2834068,1143.514863,-21.6240707,295.0065695,True,2024-240D,False
HULIANWANG DIGUI-04,62326,2025-03-24T17:30:42.000Z,1.0,4.42,0.2,43.65,41.43,2030.0,7.5,MMT9,CMOS,CLEAR,0000-0002-7093-7320,192.9,41.0,,,,0.0,5.0,,,Limiting magnitude not recorded,,,192.4215603,40.7420197,1566.63789,1.1168267,0.2076159,0.1637886,43.0681125,42.156146,69.5323228,1143.58241,-21.6377165,295.0234968,True,2024-240D,False
HULIANWANG DIGUI-04,62326,2025-03-24T17:30:47.000Z,1.0,4.45,0.2,43.65,41.43,2030.0,7.5,MMT9,CMOS,CLEAR,0000-0002-7093-7320,194.0,42.0,,,,0.0,5.0,,,Limiting magnitude not recorded,,,193.5179384,41.7702354,1572.569432,1.2555048,0.2036189,0.165861,44.260911,41.8930841,67.807514,1143.650145,-21.6513604,295.0404275,True,2024-240D,False
HULIANWANG DIGUI-04,62326,2025-03-24T17:30:52.000Z,1.0,4.48,0.2,43.65,41.43,2030.0,7.5,MMT9,CMOS,CLEAR,0000-0002-7093-7320,195.2,43.0,,,,0.0,5.0,,,Limiting magnitude not recorded,,,194.64558,42.7777961,1579.190193,1.3925067,0.1993589,0.1678529,45.4488388,41.6022976,66.1114663,1143.718062,-21.6650024,295.0573614,True,2024-240D,False
HULIANWANG DIGUI-04,62326,2025-03-24T17:30:57.000Z,1.0,4.51,0.2,43.65,41.43,2030.0,7.5,MMT9,CMOS,CLEAR,0000-0002-7093-7320,196.3,44.0,,,,0.0,5.0,,,Limiting magnitude not recorded,,,195.8049117,43.7634269,1586.491516,1.5276819,0.1948457,0.169758,46.6306379,41.2851629,64.4463425,1143.786152,-21.6786426,295.0742988,True,2024-240D,False
HULIANWANG DIGUI-04,62326,2025-03-24T17:31:02.000Z,1.0,4.5,0.2,43.65,41.43,2030.0,7.5,MMT9,CMOS,CLEAR,0000-0002-7093-7320,197.4,45.0,,,,0.0,5.0,,,Limiting magnitude not recorded,,,196.9962509,44.7258808,1594.463855,1.6608879,0.1900902,0.17157,47.8051063,40.9431342,62.814059,1143.854408,-21.6922809,295.0912396,True,2024-240D,False
